Bus load analysis of WarzeniePiwa_impl_Instance


"Physical Bus","Capacity (KB/s)","Budget (KB/s)","Required Budget (KB/s)","Actual (KB/s)"
"timer_control_proc.timer_thread.CurrTime -> mieszanie_proc.mieszadlo_decision_center.CurrTime","","12.0","","0.2"
"timer_control_proc.timer_thread.CurrTime -> czajnik_proc.czajnik_decision_center.CurrTime","","12.0","","0.2"
"button_control.button_control_thread.on -> mieszanie_proc.mieszadlo_decision_center.Start","","12.0","","0.0"
"monitor_ctrl.control.DisplayData -> monitor.DisplayData","","12.0","","3.2"
"main_sys.main_thread.WstepnaObrobkaUserInput -> wstepna_obrobka_sys.input_processing_process.process_thread.RemoteUserInput","","12.0","","3.2"
"main_sys.main_thread.WstepnaObrobkaStart -> wstepna_obrobka_sys.start_button.RemoteStart","","12.0","","0.0"
"wstepna_obrobka_sys.czajnik_proc.czajnik_decision_center.Done -> main_sys.main_thread.WstepnaObrobkaDone","","12.0","","0.0"

"Connection mieszadlo_decision_center.OpenInputGate -> input_gate_c.Open bound to Mag_bus"
"WARNING: Connection mieszadlo_decision_center.OpenInputGate -> input_gate_c.Open has no bandwidth budget"

"Connection mieszadlo_decision_center.OpenOutputGate -> output_gate_c.Open bound to Mag_bus"
"WARNING: Connection mieszadlo_decision_center.OpenOutputGate -> output_gate_c.Open has no bandwidth budget"

"Connection mieszadlo_decision_center.TurnMieszadloOn -> mieszadlo_control.On bound to Mag_bus"
"WARNING: Connection mieszadlo_decision_center.TurnMieszadloOn -> mieszadlo_control.On has no bandwidth budget"

"Connection czajnik_decision_center.OpenInputGate -> input_gate_c.Open bound to Mag_bus"
"WARNING: Connection czajnik_decision_center.OpenInputGate -> input_gate_c.Open has no bandwidth budget"

"Connection czajnik_decision_center.OpenOutputGate -> output_gate_c.Open bound to Mag_bus"
"WARNING: Connection czajnik_decision_center.OpenOutputGate -> output_gate_c.Open has no bandwidth budget"

"Connection read_temp.read_data -> control.temp_data bound to Mag_bus"
"WARNING: Connection read_temp.read_data -> control.temp_data has no bandwidth budget"

"Connection control.decision_heater -> heater_ctrl.turn_on bound to Mag_bus"
"WARNING: Connection control.decision_heater -> heater_ctrl.turn_on has no bandwidth budget"

"Bus Mag_bus has data overhead of 0 bytes"
"Bound Virtual Bus/Connection","Capacity (KB/s)","Budget (KB/s)","Required Budget (KB/s)","Actual (KB/s)"
"control_thread.open_i_gate -> input_gate_c.Open","","0.0","","0.0"
"control_thread.open_o_gate -> output_gate_c.Open","","0.0","","0.0"
"sensor_thread.read_data -> decision_thread.curr_water_level","","0.0","","0.2"
"decision_thread.get_more_water -> control_thread.turn_on_dec","","0.0","","0.0"
"start_button.Start -> button_control.button_control_thread.switch_on","","12.0","","0.0"
"klawiatura.KeyInput -> keyboard_cont_process.keyboard_control.PureInput","","12.0","","3.2"
"timer.CurrTime -> timer_control_proc.timer_thread.ReadTime","","12.0","","2.0"
"water_lvl_sensor.WaterLevel -> water_control_process.sensor_thread.sensor_data","","12.0","","0.2"
"keyboard_cont_process.keyboard_control.KeyboardInput -> input_processing_process.process_thread.UserInput","","12.0","","3.2"
"input_processing_process.process_thread.TotalTime -> kadz_control_process.control_thread.desired_time","","12.0","","0.2"
"input_processing_process.process_thread.DesiredWaterLevel -> water_control_process.decision_thread.desired_water_level","","12.0","","0.2"
"input_processing_process.process_thread.DisplayData -> monitor_ctrl.control.SystemInput","","12.0","","3.2"
"kadz_control_process.control_thread.done -> water_control_process.decision_thread.stop_thread","","12.0","","0.0"
"kadz_control_process.input_gate_c.OpenGate -> kadz.OpenInputGate","","12.0","","0.0"
"kadz_control_process.output_gate_c.OpenGate -> kadz.OpenOutputGate","","12.0","","0.0"
"water_control_process.control_thread.on -> water_dispenser.On","","12.0","","0.0"
"button_control.button_control_thread.on -> kadz_control_process.control_thread.start","","12.0","","0.0"
"button_control.button_control_thread.on -> water_control_process.decision_thread.start","","12.0","","0.0"
"timer_control_proc.timer_thread.CurrTime -> kadz_control_process.control_thread.curr_time","","12.0","","0.2"
"monitor_ctrl.control.DisplayData -> monitor.DisplayData","","12.0","","3.2"
"main_sys.main_thread.KadzFiltracyjnaUserInput -> kadz_filtracyjna_sys.input_processing_process.process_thread.RemoteUserInput","","12.0","","3.2"
"main_sys.main_thread.KadzFiltracyjnaStart -> kadz_filtracyjna_sys.start_button.RemoteStart","","12.0","","0.0"
"kadz_filtracyjna_sys.kadz_control_process.control_thread.done -> main_sys.main_thread.KadzFiltracyjnaDone","","12.0","","0.0"

"Connection control_thread.open_i_gate -> input_gate_c.Open bound to Mag_bus"
"WARNING: Connection control_thread.open_i_gate -> input_gate_c.Open has no bandwidth budget"

"Connection control_thread.open_o_gate -> output_gate_c.Open bound to Mag_bus"
"WARNING: Connection control_thread.open_o_gate -> output_gate_c.Open has no bandwidth budget"

"Connection sensor_thread.read_data -> decision_thread.curr_water_level bound to Mag_bus"
"WARNING: Connection sensor_thread.read_data -> decision_thread.curr_water_level has no bandwidth budget"

"Connection decision_thread.get_more_water -> control_thread.turn_on_dec bound to Mag_bus"
"WARNING: Connection decision_thread.get_more_water -> control_thread.turn_on_dec has no bandwidth budget"

"Bus Mag_bus has data overhead of 0 bytes"
"Bound Virtual Bus/Connection","Capacity (KB/s)","Budget (KB/s)","Required Budget (KB/s)","Actual (KB/s)"
"KadzWarzelna_decision_center.OpenInputGate -> input_gate_c.Open","","0.0","","0.0"
"KadzWarzelna_decision_center.OpenOutputGate -> output_gate_c.Open","","0.0","","0.0"
"read_temp.read_data -> control.temp_data","","0.0","","0.4"
"control.decision_heater -> heater_ctrl.turn_on","","0.0","","0.0"
"read_pressure.read_data -> control.pressure_data","","0.0","","0.8"
"control.decision_pressure_on -> pressure_ctrl.turn_on","","0.0","","0.0"
"start_button.Start -> button_control.button_control_thread.switch_on","","12.0","","0.0"
"klawiatura.KeyInput -> keyboard_cont_process.keyboard_control.PureInput","","12.0","","3.2"
"temp_sensor.Temp -> heater_control_proc.read_temp.sensor_data","","12.0","","0.4"
"pressure_sensor.Pressure -> pressure_control_proc.read_pressure.sensor_data","","12.0","","0.8"
"timer.CurrTime -> timer_control_proc.timer_thread.ReadTime","","12.0","","2.0"
"keyboard_cont_process.keyboard_control.KeyboardInput -> input_processing_process.process_thread.UserInput","","12.0","","3.2"
"input_processing_process.process_thread.WarzelniaTime -> KadzWarzelna_proc.KadzWarzelna_decision_center.DesiredTime","","12.0","","0.2"
"input_processing_process.process_thread.KadzWarzelnaDesiredTemp -> heater_control_proc.control.desired_temp_data","","12.0","","0.4"
"input_processing_process.process_thread.KadzWarzelnaDesiredPressure -> pressure_control_proc.control.desired_pressure_data","","12.0","","0.8"
"input_processing_process.process_thread.DisplayData -> monitor_ctrl.control.SystemInput","","12.0","","3.2"
"KadzWarzelna_proc.input_gate_c.OpenGate -> KadzWarzelna.OpenInputGate","","12.0","","0.0"
"KadzWarzelna_proc.output_gate_c.OpenGate -> KadzWarzelna.OpenOutputGate","","12.0","","0.0"
"KadzWarzelna_proc.KadzWarzelna_decision_center.Done -> heater_control_proc.control.stop_thread","","12.0","","0.0"
"KadzWarzelna_proc.KadzWarzelna_decision_center.Done -> pressure_control_proc.control.stop_thread","","12.0","","0.0"
"heater_control_proc.heater_ctrl.control_heater -> heater.On","","12.0","","0.0"
"pressure_control_proc.pressure_ctrl.control_pressure -> pressure_controler.On","","12.0","","0.0"
"timer_control_proc.timer_thread.CurrTime -> KadzWarzelna_proc.KadzWarzelna_decision_center.CurrTime","","12.0","","0.2"
"button_control.button_control_thread.on -> KadzWarzelna_proc.KadzWarzelna_decision_center.Start","","12.0","","0.0"
"monitor_ctrl.control.DisplayData -> monitor.DisplayData","","12.0","","3.2"
"main_sys.main_thread.WarzenieUserInput -> warzenie_sys.input_processing_process.process_thread.RemoteUserInput","","12.0","","3.2"
"main_sys.main_thread.WarzenieStart -> warzenie_sys.start_button.RemoteStart","","12.0","","0.0"
"warzenie_sys.KadzWarzelna_proc.KadzWarzelna_decision_center.Done -> main_sys.main_thread.WarzenieDone","","12.0","","0.0"

"Connection KadzWarzelna_decision_center.OpenInputGate -> input_gate_c.Open bound to Mag_bus"
"WARNING: Connection KadzWarzelna_decision_center.OpenInputGate -> input_gate_c.Open has no bandwidth budget"

"Connection KadzWarzelna_decision_center.OpenOutputGate -> output_gate_c.Open bound to Mag_bus"
"WARNING: Connection KadzWarzelna_decision_center.OpenOutputGate -> output_gate_c.Open has no bandwidth budget"

"Connection read_temp.read_data -> control.temp_data bound to Mag_bus"
"WARNING: Connection read_temp.read_data -> control.temp_data has no bandwidth budget"

"Connection control.decision_heater -> heater_ctrl.turn_on bound to Mag_bus"
"WARNING: Connection control.decision_heater -> heater_ctrl.turn_on has no bandwidth budget"

"Connection read_pressure.read_data -> control.pressure_data bound to Mag_bus"
"WARNING: Connection read_pressure.read_data -> control.pressure_data has no bandwidth budget"

"Connection control.decision_pressure_on -> pressure_ctrl.turn_on bound to Mag_bus"
"WARNING: Connection control.decision_pressure_on -> pressure_ctrl.turn_on has no bandwidth budget"

"Bus Mag_bus has data overhead of 0 bytes"
"Bound Virtual Bus/Connection","Capacity (KB/s)","Budget (KB/s)","Required Budget (KB/s)","Actual (KB/s)"
"sensor_thread.read_data -> decision_thread.curr_moisture_level","","0.0","","0.2"
"decision_thread.parownik_on -> control_thread.turn_on_dec","","0.0","","0.0"
"decision_thread.open_i_gate -> input_gate_c.Open","","0.0","","0.0"
"decision_thread.open_o_gate -> output_gate_c.Open","","0.0","","0.0"
"start_button.Start -> button_control.button_control_thread.switch_on","","12.0","","0.0"
"klawiatura.KeyInput -> keyboard_cont_process.keyboard_control.PureInput","","12.0","","3.2"
"moisture_lvl_sensor.MoistureLevel -> moisture_control_process.sensor_thread.sensor_data","","12.0","","0.2"
"keyboard_cont_process.keyboard_control.KeyboardInput -> input_processing_process.process_thread.UserInput","","12.0","","3.2"
"input_processing_process.process_thread.DesiredMoistureLevel -> moisture_control_process.decision_thread.desired_moisture_level","","12.0","","0.2"
"input_processing_process.process_thread.DisplayData -> monitor_ctrl.control.SystemInput","","12.0","","3.2"
"moisture_control_process.control_thread.on -> parownik.On","","12.0","","0.0"
"moisture_control_process.input_gate_c.OpenGate -> parownik.OpenInputGate","","12.0","","0.0"
"moisture_control_process.output_gate_c.OpenGate -> parownik.OpenOutputGate","","12.0","","0.0"
"button_control.button_control_thread.on -> moisture_control_process.decision_thread.start","","12.0","","0.0"
"monitor_ctrl.control.DisplayData -> monitor.DisplayData","","12.0","","3.2"
"main_sys.main_thread.ParowanieUserInput -> parowanie_sys.input_processing_process.process_thread.RemoteUserInput","","12.0","","3.2"
"main_sys.main_thread.ParowanieStart -> parowanie_sys.start_button.RemoteStart","","12.0","","0.0"
"parowanie_sys.moisture_control_process.decision_thread.done -> main_sys.main_thread.ParowanieDone","","12.0","","0.0"

"Connection sensor_thread.read_data -> decision_thread.curr_moisture_level bound to Mag_bus"
"WARNING: Connection sensor_thread.read_data -> decision_thread.curr_moisture_level has no bandwidth budget"

"Connection decision_thread.parownik_on -> control_thread.turn_on_dec bound to Mag_bus"
"WARNING: Connection decision_thread.parownik_on -> control_thread.turn_on_dec has no bandwidth budget"

"Connection decision_thread.open_i_gate -> input_gate_c.Open bound to Mag_bus"
"WARNING: Connection decision_thread.open_i_gate -> input_gate_c.Open has no bandwidth budget"

"Connection decision_thread.open_o_gate -> output_gate_c.Open bound to Mag_bus"
"WARNING: Connection decision_thread.open_o_gate -> output_gate_c.Open has no bandwidth budget"

"Bus Mag_bus has data overhead of 0 bytes"
"Bound Virtual Bus/Connection","Capacity (KB/s)","Budget (KB/s)","Required Budget (KB/s)","Actual (KB/s)"
"decision_thread.parownik_on -> control_thread.turn_on_dec","","0.0","","0.0"
"decision_thread.open_i_gate -> input_gate_c.Open","","0.0","","0.0"
"decision_thread.open_o_gate -> output_gate_c.Open","","0.0","","0.0"
"start_button.Start -> button_control.button_control_thread.switch_on","","12.0","","0.0"
"klawiatura.KeyInput -> keyboard_cont_process.keyboard_control.PureInput","","12.0","","3.2"
"timer.CurrTime -> timer_control_proc.timer_thread.ReadTime","","12.0","","2.0"
"keyboard_cont_process.keyboard_control.KeyboardInput -> input_processing_process.process_thread.UserInput","","12.0","","3.2"
"input_processing_process.process_thread.TotalTime -> wirownike_control_process.decision_thread.total_time","","12.0","","0.2"
"input_processing_process.process_thread.DisplayData -> monitor_ctrl.control.SystemInput","","12.0","","3.2"
"wirownike_control_process.control_thread.on -> wir.On","","12.0","","0.0"
"wirownike_control_process.input_gate_c.OpenGate -> wirownik.OpenInputGate","","12.0","","0.0"
"wirownike_control_process.output_gate_c.OpenGate -> wirownik.OpenOutputGate","","12.0","","0.0"
"button_control.button_control_thread.on -> wirownike_control_process.decision_thread.start","","12.0","","0.0"
"timer_control_proc.timer_thread.CurrTime -> wirownike_control_process.decision_thread.curr_time","","12.0","","0.2"
"monitor_ctrl.control.DisplayData -> monitor.DisplayData","","12.0","","3.2"
"main_sys.main_thread.WirowanieUserInput -> wirowanie_sys.input_processing_process.process_thread.RemoteUserInput","","12.0","","3.2"
"main_sys.main_thread.WirowanieStart -> wirowanie_sys.start_button.RemoteStart","","12.0","","0.0"
"wirowanie_sys.wirownike_control_process.decision_thread.done -> main_sys.main_thread.WirowanieDone","","12.0","","0.0"

"Connection decision_thread.parownik_on -> control_thread.turn_on_dec bound to Mag_bus"
"WARNING: Connection decision_thread.parownik_on -> control_thread.turn_on_dec has no bandwidth budget"

"Connection decision_thread.open_i_gate -> input_gate_c.Open bound to Mag_bus"
"WARNING: Connection decision_thread.open_i_gate -> input_gate_c.Open has no bandwidth budget"

"Connection decision_thread.open_o_gate -> output_gate_c.Open bound to Mag_bus"
"WARNING: Connection decision_thread.open_o_gate -> output_gate_c.Open has no bandwidth budget"

"Bus Mag_bus has data overhead of 0 bytes"
"Bound Virtual Bus/Connection","Capacity (KB/s)","Budget (KB/s)","Required Budget (KB/s)","Actual (KB/s)"
"fermentacja_decision_center.OpenInputGate -> input_gate_c.Open","","0.0","","0.0"
"fermentacja_decision_center.OpenOutputGate -> output_gate_c.Open","","0.0","","0.0"
"start_button.Start -> button_control.button_control_thread.switch_on","","12.0","","0.0"
"klawiatura.KeyInput -> keyboard_cont_process.keyboard_control.PureInput","","12.0","","3.2"
"timer.CurrTime -> timer_control_proc.timer_thread.ReadTime","","12.0","","2.0"
"keyboard_cont_process.keyboard_control.KeyboardInput -> input_processing_process.process_thread.UserInput","","12.0","","3.2"
"input_processing_process.process_thread.TotalTime -> fermentacja_control.fermentacja_decision_center.DesiredTime","","12.0","","0.2"
"input_processing_process.process_thread.DisplayData -> monitor_ctrl.control.SystemInput","","12.0","","3.2"
"timer_control_proc.timer_thread.CurrTime -> fermentacja_control.fermentacja_decision_center.CurrTime","","12.0","","0.2"
"button_control.button_control_thread.on -> fermentacja_control.fermentacja_decision_center.Start","","12.0","","0.0"
"fermentacja_control.input_gate_c.OpenGate -> zbiornik.OpenInputGate","","12.0","","0.0"
"fermentacja_control.output_gate_c.OpenGate -> zbiornik.OpenOutputGate","","12.0","","0.0"
"monitor_ctrl.control.DisplayData -> monitor.DisplayData","","12.0","","3.2"
"main_sys.main_thread.FermentacjaUserInput -> fermentacja_sys.input_processing_process.process_thread.RemoteUserInput","","12.0","","3.2"
"main_sys.main_thread.FermentacjaStart -> fermentacja_sys.start_button.RemoteStart","","12.0","","0.0"
"fermentacja_sys.fermentacja_control.fermentacja_decision_center.Done -> main_sys.main_thread.FermentacjaDone","","12.0","","0.0"

"Connection fermentacja_decision_center.OpenInputGate -> input_gate_c.Open bound to Mag_bus"
"WARNING: Connection fermentacja_decision_center.OpenInputGate -> input_gate_c.Open has no bandwidth budget"

"Connection fermentacja_decision_center.OpenOutputGate -> output_gate_c.Open bound to Mag_bus"
"WARNING: Connection fermentacja_decision_center.OpenOutputGate -> output_gate_c.Open has no bandwidth budget"

"Bus Mag_bus has data overhead of 0 bytes"
"Bound Virtual Bus/Connection","Capacity (KB/s)","Budget (KB/s)","Required Budget (KB/s)","Actual (KB/s)"
"butelkowanie_decision_center.OpenInputGate -> input_gate_c.Open","","0.0","","0.0"
"butelkowanie_decision_center.OpenOutputGate -> output_gate_c.Open","","0.0","","0.0"
"read_temp.read_data -> control.temp_data","","0.0","","0.4"
"control.decision_heater -> heater_ctrl.turn_on","","0.0","","0.0"
"read_pressure.read_data -> control.pressure_data","","0.0","","0.8"
"control.decision_pressure_on -> pressure_ctrl.turn_on","","0.0","","0.0"
"start_button.Start -> button_control.button_control_thread.switch_on","","12.0","","0.0"
"klawiatura.KeyInput -> keyboard_cont_process.keyboard_control.PureInput","","12.0","","3.2"
"temp_sensor.Temp -> heater_control_proc.read_temp.sensor_data","","12.0","","0.4"
"pressure_sensor.Pressure -> pressure_control_proc.read_pressure.sensor_data","","12.0","","0.8"
"timer.CurrTime -> timer_control_proc.timer_thread.ReadTime","","12.0","","2.0"
"keyboard_cont_process.keyboard_control.KeyboardInput -> input_processing_process.process_thread.UserInput","","12.0","","3.2"
"input_processing_process.process_thread.ButelkowanieTime -> butelkowanie_proc.butelkowanie_decision_center.DesiredTime","","12.0","","0.2"
"input_processing_process.process_thread.DesiredTemp -> heater_control_proc.control.desired_temp_data","","12.0","","0.4"
"input_processing_process.process_thread.DesiredPressure -> pressure_control_proc.control.desired_pressure_data","","12.0","","0.8"
"input_processing_process.process_thread.DisplayData -> monitor_ctrl.control.SystemInput","","12.0","","3.2"
"butelkowanie_proc.input_gate_c.OpenGate -> butelki.OpenInputGate","","12.0","","0.0"
"butelkowanie_proc.output_gate_c.OpenGate -> butelki.OpenOutputGate","","12.0","","0.0"
"butelkowanie_proc.butelkowanie_decision_center.Done -> heater_control_proc.control.stop_thread","","12.0","","0.0"
"butelkowanie_proc.butelkowanie_decision_center.Done -> pressure_control_proc.control.stop_thread","","12.0","","0.0"
"heater_control_proc.heater_ctrl.control_heater -> heater.On","","12.0","","0.0"
"pressure_control_proc.pressure_ctrl.control_pressure -> pressure_controler.On","","12.0","","0.0"
"timer_control_proc.timer_thread.CurrTime -> butelkowanie_proc.butelkowanie_decision_center.CurrTime","","12.0","","0.2"
"button_control.button_control_thread.on -> butelkowanie_proc.butelkowanie_decision_center.Start","","12.0","","0.0"
"monitor_ctrl.control.DisplayData -> monitor.DisplayData","","12.0","","3.2"
"main_sys.main_thread.ButelkowanieUserInput -> butelkowanie_sys.input_processing_process.process_thread.RemoteUserInput","","12.0","","3.2"
"main_sys.main_thread.ButelkowanieStart -> butelkowanie_sys.start_button.RemoteStart","","12.0","","0.0"
"butelkowanie_sys.butelkowanie_proc.butelkowanie_decision_center.Done -> main_sys.main_thread.ButelkowanieDone","","12.0","","0.0"

"Connection butelkowanie_decision_center.OpenInputGate -> input_gate_c.Open bound to Mag_bus"
"WARNING: Connection butelkowanie_decision_center.OpenInputGate -> input_gate_c.Open has no bandwidth budget"

"Connection butelkowanie_decision_center.OpenOutputGate -> output_gate_c.Open bound to Mag_bus"
"WARNING: Connection butelkowanie_decision_center.OpenOutputGate -> output_gate_c.Open has no bandwidth budget"

"Connection read_temp.read_data -> control.temp_data bound to Mag_bus"
"WARNING: Connection read_temp.read_data -> control.temp_data has no bandwidth budget"

"Connection control.decision_heater -> heater_ctrl.turn_on bound to Mag_bus"
"WARNING: Connection control.decision_heater -> heater_ctrl.turn_on has no bandwidth budget"

"Connection read_pressure.read_data -> control.pressure_data bound to Mag_bus"
"WARNING: Connection read_pressure.read_data -> control.pressure_data has no bandwidth budget"

"Connection control.decision_pressure_on -> pressure_ctrl.turn_on bound to Mag_bus"
"WARNING: Connection control.decision_pressure_on -> pressure_ctrl.turn_on has no bandwidth budget"


